iter	Logloss
0	0.5606458409
1	0.4608309223
2	0.3917686949
3	0.3433225836
4	0.3060161119
5	0.2780725405
6	0.2585641832
7	0.2429673636
8	0.2306641324
9	0.2191219986
10	0.2109265515
11	0.2042311557
12	0.1985326147
13	0.1935570002
14	0.1893243842
15	0.1864989296
16	0.1826527155
17	0.1799360275
18	0.1777547851
19	0.1761066924
20	0.1743266124
21	0.1724867977
22	0.1713215784
23	0.1699386257
24	0.1688220062
25	0.1678963713
26	0.1669166093
27	0.1661184486
28	0.1651534993
29	0.164350386
30	0.1637418744
31	0.163126652
32	0.1625819807
33	0.1618368367
34	0.161224912
35	0.1608924243
36	0.1602589345
37	0.1598815602
38	0.1594400843
39	0.1589111132
40	0.1584808673
41	0.1581677389
42	0.157852015
43	0.1575765726
44	0.1572954528
45	0.156998814
46	0.1567727074
47	0.1564917781
48	0.1561911718
49	0.1560120848
50	0.1556568271
51	0.1554263568
52	0.1551505206
53	0.1549483297
54	0.1546292569
55	0.1543967198
56	0.1541485809
57	0.1539899753
58	0.1538202516
59	0.1536778944
60	0.1535164946
61	0.1533893987
62	0.1532620454
63	0.1530877052
64	0.1529064431
65	0.1527508719
66	0.1525636262
67	0.1524824452
68	0.1523175587
69	0.1521755284
70	0.1520317499
71	0.151878309
72	0.1518330188
73	0.1516674477
74	0.1515897307
75	0.1514808985
76	0.1513119185
77	0.1512394533
78	0.1510892257
79	0.1509746326
80	0.1508515645
81	0.1507619355
82	0.150659934
83	0.1506150799
84	0.1505093495
85	0.1504235149
86	0.1503369083
87	0.1502630735
88	0.1501945354
89	0.1501289485
90	0.1500235404
91	0.1499662198
92	0.1499013866
93	0.1497551202
94	0.1496986329
95	0.1495612517
96	0.1495130353
97	0.1494241867
98	0.1493409328
99	0.1492953225
100	0.1492102209
101	0.1491193682
102	0.1490743495
103	0.1490205994
104	0.1489254385
105	0.1488820149
106	0.1487818713
107	0.1487294179
108	0.1486682772
109	0.1485895582
110	0.1485136037
111	0.148444583
112	0.1483918974
113	0.1483481315
114	0.1482889095
115	0.1482490382
116	0.1481962157
117	0.1481103165
118	0.1480675975
119	0.1480300785
120	0.1479425456
121	0.1479102889
122	0.1478734697
123	0.1477917218
124	0.147748793
125	0.1477131123
126	0.1476650102
127	0.1475704344
128	0.1475343495
129	0.1474400359
130	0.1473966191
131	0.1473540502
132	0.1472829031
133	0.1472554058
134	0.147216774
135	0.1471546396
136	0.1471316161
137	0.1470759918
138	0.1470199442
139	0.1469833183
140	0.1469542411
141	0.146917837
142	0.1468742188
143	0.1468496104
144	0.1468051076
145	0.1467545502
146	0.1467270034
147	0.1467004394
148	0.146649111
149	0.146575336
150	0.1465396089
151	0.1465136766
152	0.1464684492
153	0.1464302322
154	0.1463786994
155	0.1462635579
156	0.1462355459
157	0.1461573451
158	0.1460968081
159	0.1460544052
160	0.1460243891
161	0.1459889473
162	0.1459424735
163	0.145857469
164	0.1458191264
165	0.145794299
166	0.1457569252
167	0.1457304797
168	0.1456782732
169	0.1456429956
170	0.1455900684
171	0.1455356972
172	0.1455038875
173	0.1454887948
174	0.1454420399
175	0.1453621771
176	0.1453399314
177	0.1453092732
178	0.1452912855
179	0.1452460445
180	0.1452203525
181	0.1451860586
182	0.1451605228
183	0.1450942696
184	0.1450359682
185	0.1449715776
186	0.1449202114
187	0.1449054382
188	0.1448646145
189	0.1448405046
190	0.1448176375
191	0.1447878469
192	0.144729322
193	0.1446892204
194	0.1446620708
195	0.1446419757
196	0.1445915265
197	0.14455817
