iter	Passed	Remaining
0	129	129405
1	215	107490
2	319	106242
3	437	108855
4	568	113064
5	672	111459
6	786	111590
7	891	110605
8	974	107349
9	1092	108166
10	1218	109549
11	1350	111184
12	1474	111916
13	1560	109928
14	1710	112324
15	1824	112200
16	1921	111079
17	2038	111234
18	2155	111276
19	2282	111828
20	2410	112374
21	2535	112707
22	2660	112992
23	2783	113187
24	2901	113169
25	3033	113657
26	3154	113670
27	3273	113639
28	3394	113650
29	3521	113851
30	3641	113816
31	3759	113711
32	3885	113847
33	4003	113752
34	4135	114009
35	4248	113768
36	4382	114067
37	4512	114232
38	4646	114494
39	4780	114727
40	4900	114625
41	5039	114952
42	5169	115055
43	5300	115159
44	5425	115141
45	5560	115318
46	5684	115258
47	5793	114896
48	5928	115059
49	6068	115296
50	6189	115175
51	6305	114951
52	6437	115017
53	6562	114961
54	6692	114981
55	6816	114906
56	6945	114903
57	7070	114827
58	7193	114726
59	7310	114535
60	7433	114423
61	7560	114384
62	7687	114336
63	7813	114266
64	7952	114393
65	8079	114341
66	8217	114430
67	8345	114388
68	8480	114430
69	8628	114639
70	8754	114554
71	8880	114453
72	9009	114406
73	9140	114381
74	9289	114568
75	9454	114951
76	9580	114845
77	9729	115003
78	9848	114811
79	9985	114836
80	10111	114721
81	10245	114702
82	10399	114894
83	10531	114841
84	10660	114756
85	10800	114788
86	10950	114912
87	11070	114735
88	11205	114698
89	11363	114900
90	11498	114860
91	11637	114858
92	11768	114773
93	11884	114548
94	12014	114454
95	12157	114482
96	12296	114473
97	12440	114500
98	12587	114562
99	12713	114423
100	12834	114241
101	12971	114201
102	13099	114075
103	13239	114060
104	13385	114094
105	13549	114272
106	13677	114149
107	13839	114301
108	14010	114524
109	14153	114515
110	14302	114551
111	14453	114594
112	14599	114602
113	14778	114858
114	14928	114883
115	15064	114802
116	15180	114565
117	15322	114525
118	15483	114631
119	15621	114559
120	15770	114563
121	15904	114462
122	16040	114369
123	16194	114408
124	16356	114498
125	16523	114615
126	16660	114522
127	16802	114468
128	16930	114314
129	17098	114431
130	17231	114306
131	17382	114303
132	17538	114329
133	17657	114115
134	17771	113867
135	17905	113750
136	18038	113626
137	18199	113678
138	18319	113474
139	18451	113346
140	18612	113391
141	18729	113168
142	18859	113027
143	18991	112896
144	19157	112961
145	19334	113091
146	19475	113013
147	19641	113072
148	19808	113135
149	19941	113002
150	20059	112785
151	20192	112653
152	20335	112574
153	20481	112515
154	20628	112459
155	20765	112347
156	20930	112383
157	21098	112438
158	21240	112345
159	21394	112318
160	21527	112183
161	21690	112199
162	22282	114418
163	22881	116639
164	23488	118867
165	24090	121031
166	24520	122307
167	25025	123936
168	25434	125066
169	25953	126713
170	26527	128604
171	26925	129618
172	27090	129504
173	27234	129283
174	27406	129201
175	27541	128945
176	27696	128779
177	27834	128537
178	27952	128207
179	28094	127985
180	28219	127689
181	28367	127499
182	28497	127224
183	28633	126981
184	28770	126745
185	28888	126426
186	29042	126266
187	29176	126018
188	29331	125861
189	29452	125559
190	29594	125350
191	29721	125079
192	29859	124853
193	29993	124612
194	30130	124385
195	30251	124092
196	30383	123846
197	30540	123705
198	30694	123547
199	30828	123315
200	31005	123248
201	31106	122885
202	31231	122618
203	31391	122490
204	31518	122228
205	31664	122047
206	31788	121779
207	31946	121642
208	32118	121560
209	32277	121424
210	32417	121221
211	32561	121029
212	32723	120907
213	32848	120650
214	33013	120537
215	33148	120316
216	33336	120287
217	33502	120178
218	33626	119917
219	33742	119633
220	33884	119439
221	34014	119202
222	34161	119028
223	34338	118956
224	34506	118857
225	34697	118830
226	34901	118848
227	35152	119024
228	35424	119267
229	35609	119215
230	35773	119089
231	35937	118967
232	36149	118997
233	36333	118936
234	36529	118916
235	36712	118849
236	36904	118811
237	37064	118669
238	37286	118724
239	37477	118678
240	37633	118521
241	37780	118337
242	37962	118262
243	38158	118227
244	38388	118299
245	38584	118263
246	38992	118872
247	39165	118758
248	39899	120338
249	40158	120476
250	40329	120345
251	40503	120225
252	40737	120281
253	40909	120152
254	41060	119960
255	41255	119900
256	41406	119708
257	41606	119658
258	41780	119532
259	41958	119418
260	42118	119253
261	42283	119102
262	42425	118889
263	42553	118632
264	42710	118461
265	42861	118272
266	43020	118106
267	43185	117953
268	43327	117740
269	43515	117652
270	43662	117454
271	43837	117328
272	44002	117177
273	44183	117069
274	44340	116897
275	44505	116746
276	44702	116677
277	44870	116535
278	45014	116328
279	45158	116121
280	45342	116018
281	45501	115850
282	45657	115676
283	45818	115513
284	45966	115319
285	46114	115124
286	46296	115014
287	46448	114831
288	46605	114657
289	46782	114536
290	46943	114375
291	47093	114185
292	47244	113999
293	47398	113820
294	47539	113611
295	47691	113429
296	47884	113342
297	48045	113180
298	48174	112944
299	48328	112766
300	48471	112563
301	48636	112411
302	48818	112298
303	48962	112098
304	49114	111915
305	49261	111723
306	49414	111545
307	49551	111330
308	49690	111120
309	49828	110907
310	49978	110724
311	50101	110480
312	50243	110279
313	50371	110047
314	50511	109842
315	50669	109676
316	50829	109515
317	50996	109369
318	51136	109166
319	51275	108960
320	51391	108705
321	51545	108534
322	51672	108303
323	51799	108075
324	51922	107838
325	52049	107612
326	52168	107367
327	52306	107164
328	52436	106945
329	52574	106741
330	52706	106527
331	52835	106306
332	52974	106107
333	53128	105939
334	53261	105727
335	53391	105511
336	53526	105306
337	53662	105102
338	53824	104949
339	53954	104735
340	54085	104523
