iter	Passed	Remaining
341	54197	104274
342	54348	104101
343	54517	103962
344	54677	103807
345	54844	103665
346	55001	103504
347	55140	103309
348	55282	103120
349	55453	102985
350	55616	102834
351	55754	102639
352	55888	102435
353	56008	102207
354	56144	102009
355	56299	101846
356	56432	101642
357	56568	101444
358	56706	101250
359	56852	101071
360	56981	100862
361	57109	100651
362	57272	100503
363	57425	100337
364	57554	100128
365	57719	99983
366	57877	99826
367	58070	99729
368	58214	99547
369	58347	99348
370	58498	99179
371	58650	99012
372	58794	98832
373	58939	98653
374	59086	98477
375	59238	98311
376	59379	98126
377	59532	97960
378	59679	97786
379	59820	97602
380	60315	97992
381	60843	98432
382	61344	98823
383	61683	98950
384	62165	99303
385	62637	99635
386	63095	99941
387	63445	100073
388	63614	99918
389	63773	99749
390	64000	99683
391	64241	99639
392	64476	99585
393	64630	99406
394	64803	99255
395	64990	99127
396	65153	98960
397	65316	98795
398	65477	98626
399	65643	98464
400	65792	98278
401	66004	98185
402	66164	98015
403	66328	97851
404	66499	97696
405	66648	97510
406	66852	97403
407	67028	97256
408	67172	97062
409	67320	96876
410	67443	96653
411	67577	96445
412	67714	96243
413	67871	96068
414	67993	95845
415	68127	95640
416	68295	95482
417	68465	95327
418	68625	95158
419	68769	94967
420	68947	94822
421	69095	94637
422	69246	94456
423	69387	94261
424	69523	94061
425	69659	93860
426	69807	93676
427	69971	93513
428	70114	93322
429	70275	93155
430	70444	92999
431	70600	92826
432	70773	92675
433	70936	92511
434	71057	92293
435	71189	92088
436	71321	91885
437	71440	91665
438	71600	91498
439	71748	91316
440	71885	91119
441	72040	90946
442	72179	90754
443	72313	90554
444	72446	90354
445	72598	90178
446	72755	90008
447	72905	89830
448	73022	89610
449	73197	89464
450	73363	89305
451	73494	89103
452	73620	88896
453	73757	88704
454	73888	88503
455	74041	88330
456	74198	88161
457	74339	87973
458	74480	87786
459	74623	87601
460	74789	87443
461	74931	87257
462	75070	87068
463	75219	86891
464	75355	86699
465	75510	86528
466	75653	86345
467	75786	86150
468	75930	85968
469	76081	85793
470	76218	85604
471	76377	85438
472	76529	85266
473	76690	85103
474	76836	84924
475	76984	84747
476	77143	84582
477	77311	84427
478	77450	84241
479	77597	84063
480	77745	83887
481	77888	83705
482	78045	83539
483	78195	83365
484	78338	83183
485	78481	83003
486	78622	82819
487	78756	82630
488	78890	82440
489	79037	82263
490	79202	82106
491	79337	81917
492	79472	81729
493	79612	81545
494	79766	81377
495	79919	81208
496	80048	81015
497	80204	80848
498	80351	80673
499	80491	80491
500	80646	80324
501	80787	80143
502	80917	79952
503	81070	79784
504	81239	79631
505	81358	79429
506	81493	79243
507	81628	79057
508	81756	78865
509	81872	78661
510	82012	78481
511	82135	78285
512	82285	78115
513	82451	77959
514	82615	77803
515	82751	77619
516	82887	77436
517	82995	77227
518	83133	77046
519	83279	76873
520	83425	76700
521	83575	76530
522	83717	76354
523	83858	76177
524	83967	75971
525	84118	75802
526	84260	75626
527	84407	75455
528	84541	75272
529	84687	75100
530	84815	74911
531	84940	74721
532	85076	74541
533	85191	74343
534	85327	74163
535	85475	73993
536	85626	73827
537	85781	73663
538	85921	73487
539	86052	73304
540	86205	73139
541	86343	72961
542	86477	72781
543	86604	72595
544	86751	72425
545	86882	72242
546	87034	72077
547	87148	71881
548	87284	71703
549	87432	71535
550	87564	71354
551	87704	71180
552	87850	71011
553	88011	70854
554	88149	70678
555	88281	70497
556	88413	70318
557	88544	70137
558	88719	69991
559	88872	69828
560	88999	69645
561	89164	69491
562	89300	69315
563	89421	69127
564	89558	68952
565	89681	68766
566	89799	68576
567	89927	68395
568	90059	68217
569	90213	68055
570	90341	67874
571	90490	67709
572	90621	67530
573	90747	67349
574	90890	67180
575	91038	67014
576	91207	66864
577	91344	66690
578	91455	66498
579	91588	66322
580	91739	66159
581	91899	66003
582	92111	65884
583	92248	65711
584	92375	65531
585	92529	65370
586	92688	65213
587	92822	65039
588	92944	64855
589	93097	64694
590	93226	64517
591	93372	64351
592	93507	64177
593	93695	64040
594	93813	63856
595	93960	63691
596	94102	63522
597	94225	63342
598	94376	63180
599	94514	63009
600	94650	62837
601	94788	62667
602	94919	62492
603	95046	62315
604	95225	62171
605	95340	61987
606	95482	61819
607	95614	61646
608	95746	61472
609	95872	61295
610	96018	61131
611	96138	60950
612	96267	60775
613	96395	60600
614	96560	60448
615	96693	60276
616	96833	60109
617	96957	59931
618	97084	59756
619	97268	59616
620	97381	59432
621	97512	59259
622	97649	59091
623	97777	58917
624	97911	58746
625	98103	58611
626	98250	58449
627	98387	58280
628	98521	58110
629	98625	57922
630	98773	57761
631	98906	57591
632	99054	57429
633	99225	57281
634	99395	57132
635	99545	56972
636	99696	56812
637	99857	56659
638	99998	56493
639	100148	56333
640	100311	56180
641	100450	56014
642	100592	55849
643	100740	55688
644	100862	55513
645	100990	55341
646	101157	55190
647	101330	55043
648	101460	54873
649	101595	54705
650	101735	54540
651	101877	54376
652	102008	54206
653	102169	54052
654	102287	53876
655	102427	53712
656	102555	53541
657	102700	53379
658	102843	53216
659	102970	53045
660	103112	52882
661	103264	52724
662	103424	52570
663	103573	52410
664	103717	52248
665	103861	52086
666	104007	51925
667	104142	51759
668	104298	51603
669	104434	51437
670	104569	51271
671	104701	51104
672	104847	50943
673	104979	50776
674	105145	50625
675	105264	50452
676	105388	50281
677	105514	50111
678	105657	49949
679	105807	49791
680	105954	49632
681	106081	49463
682	106247	49312
683	106395	49153
684	106547	48996
685	106693	48836
686	106833	48673
687	107015	48530
688	107170	48374
689	107356	48232
690	107485	48064
691	107614	47897
692	107790	47751
693	107928	47587
694	108065	47424
695	108237	47276
696	108386	47117
697	108520	46953
698	108655	46788
699	108804	46630
700	108961	46475
701	109101	46313
702	109255	46157
703	109384	45991
704	109523	45828
705	109661	45666
706	109794	45501
707	109919	45333
708	110075	45179
709	110213	45016
710	110329	44845
711	110461	44681
712	110583	44512
713	110712	44346
714	110849	44184
715	110988	44023
716	111121	43859
717	111263	43699
718	111404	43539
719	111543	43378
720	111682	43216
721	111836	43061
722	111972	42899
723	112111	42738
724	112283	42590
725	112428	42431
726	112566	42270
727	112716	42113
728	112841	41947
729	112977	41786
730	113110	41623
731	113251	41463
732	113383	41300
733	113537	41145
734	113673	40984
735	113814	40824
736	114000	40681
737	114138	40520
738	114273	40359
739	114429	40204
740	114558	40041
741	114688	39878
742	114818	39715
743	114963	39557
744	115121	39403
745	115276	39249
746	115439	39098
747	115572	38936
748	115741	38786
749	115887	38629
750	116016	38466
751	116134	38299
752	116279	38142
753	116420	37983
754	116548	37820
755	116693	37663
756	116842	37506
757	116972	37344
758	117103	37183
759	117224	37018
760	117346	36853
761	117475	36691
762	117615	36533
763	117757	36375
764	117904	36219
765	118038	36058
766	118172	35898
767	118296	35735
768	118463	35585
769	118639	35437
770	118772	35277
771	118934	35125
772	119057	34962
773	119191	34802
774	119363	34653
775	119491	34492
776	119630	34334
777	119779	34178
778	119917	34020
779	120057	33862
780	120195	33703
781	120319	33541
782	120469	33386
783	120662	33243
784	120803	33086
785	120935	32926
786	121098	32775
787	121221	32612
788	121359	32454
789	121515	32301
790	121687	32152
791	121833	31996
792	121962	31836
793	122114	31682
794	122238	31520
795	122374	31362
796	122513	31204
797	122649	31046
798	122796	30891
799	122990	30747
800	123139	30592
801	123278	30435
802	123418	30278
803	123549	30118
804	123675	29958
805	123827	29804
806	123978	29650
807	124122	29494
808	124268	29339
809	124418	29184
810	124569	29030
811	124704	28872
812	124845	28716
813	124971	28556
814	125126	28403
815	125272	28247
816	125429	28094
817	125568	27938
818	125708	27781
819	125833	27621
820	125976	27466
821	126110	27308
822	126236	27149
823	126364	26990
824	126504	26834
825	126664	26682
826	126796	26524
827	126953	26371
828	127088	26214
829	127235	26060
830	127362	25901
831	127501	25745
832	127641	25589
833	127822	25441
834	127953	25284
835	128079	25125
836	128232	24972
837	128385	24819
838	128523	24663
839	128661	24506
840	128802	24351
841	128929	24193
842	129083	24040
843	129212	23882
844	129351	23727
845	129487	23570
846	129627	23415
847	129811	23268
848	129951	23112
849	130087	22956
850	130221	22800
851	130355	22643
852	130473	22484
853	130608	22328
854	130761	22175
855	130921	22024
856	131037	21865
857	131168	21708
858	131312	21554
859	131441	21397
860	131593	21244
861	131774	21096
862	131901	20939
863	132038	20783
864	132193	20631
865	132332	20476
866	132475	20322
867	132621	20168
868	132768	20014
869	132883	19856
870	133024	19701
871	133186	19550
872	133328	19396
873	133484	19243
874	133638	19091
875	133787	18937
876	133925	18783
877	134060	18627
